学校,学科,等级/结果,推测等级或第四轮等级,时间,来源,渠道,标题,链接,备注,网页存档
安徽工程大学,,完成预期目标并取得历史性突破,,1月14日,安徽工程大学,网站,乘势而上 再开新局 校领导带队开展学科、科研、人才工作调研,https://www.ahpu.edu.cn/2023/0114/c3a186416/page.htm,,https://web.archive.org/web/20230206115155/https://www.ahpu.edu.cn/2023/0114/c3a186416/page.htm
安徽工程大学,管理科学与工程,获得优异成绩，取得历史性的突破,第四轮未在榜上,1月14日,安徽工程大学经管学院团委,微信公众号,年度“经”彩 | 2022，我们这样走过！,https://mp.weixin.qq.com/s/LE6Q2NQqftZ5zGzqqlrA2Q,,https://archive.is/bQVw1
安徽工业大学,工商管理,（商学院）取得了高于预期的成绩,第四轮C,1月12日,安徽工业大学,网站,我校举办商科教育40年新年论坛暨党的二十大精神学习报告会,https://www.ahut.edu.cn/info/1002/21657.htm,,https://web.archive.org/web/20230206142429/https://www.ahut.edu.cn/info/1002/21657.htm
安徽工业大学,应用经济学,（商学院）取得了高于预期的成绩,第四轮C-,1月12日,安徽工业大学,网站,我校举办商科教育40年新年论坛暨党的二十大精神学习报告会,https://www.ahut.edu.cn/info/1002/21657.htm,,https://web.archive.org/web/20230206142429/https://www.ahut.edu.cn/info/1002/21657.htm
安徽理工大学,上榜学科,总数扩大,,12月31日,安徽理工大学,微信公众号,安徽理工大学2023年新年贺词,https://mp.weixin.qq.com/s/7V9_8iGEepxI-Ogf-LwYAA,教育部第五轮学科评估学习上榜学科总数扩大,https://archive.ph/XIJdZ
安徽理工大学,主体学科,提档进位,,12月31日,安徽理工大学,微信公众号,安徽理工大学2023年新年贺词,https://mp.weixin.qq.com/s/7V9_8iGEepxI-Ogf-LwYAA,教育部第五轮学科评估学习上榜学科总数扩大,https://archive.ph/XIJdZ
安徽理工大学,安全科学与工程,提档进位，实现安徽省属高校最高类别零的突破,A-，第四轮B,1月31日,安徽理工大学新闻网,网站,校长袁亮院士接受安徽日报记者专访 | 袁亮：挑起科研与育人“双重担”,https://news.aust.edu.cn/info/1011/34455.htm,,https://web.archive.org/web/20230206133959/https://news.aust.edu.cn/info/1011/34455.htm
安徽农业大学,植物保护,争先进位,,12月30日,安徽农业大学植物保护学院,网站,植物保护学院召开党委中心组学习暨年度工作盘点会议,http://ahauplant.ahau.edu.cn/info/1216/31113.htm,,https://web.archive.org/web/20230209090910/http://ahauplant.ahau.edu.cn/info/1216/31113.htm
北京大学,中国史,A+,,1月1日,北京大学历史学系,微信公众号,回首·学术著作丨北京大学历史学系2022年学术总结（一）,https://mp.weixin.qq.com/s/fA7aLlSGgL6iULLSbwHFYQ,已删去相关表述,https://archive.is/ShDXB
北京大学,世界史,A+,,1月1日,北京大学历史学系,微信公众号,回首·学术著作丨北京大学历史学系2022年学术总结（一）,https://mp.weixin.qq.com/s/fA7aLlSGgL6iULLSbwHFYQ,已删去相关表述,https://archive.is/ShDXB
北京大学,理论经济学,A+,,12月31日,北京大学经济学院,微信公众号,新年献词 | 北大经院院长董志勇：重塑下一个春天,https://mp.weixin.qq.com/s/f3nefVPZUEE3GazWTZq2UA,已删去相关表述,https://archive.is/xyTxm
北京大学,理论经济学,A+,,1月1日,北京大学经济学院,网站,新年献词 | 重塑下一个春天,https://econ.pku.edu.cn/sydt/368149.htm,,https://web.archive.org/web/20230206081621/https://econ.pku.edu.cn/sydt/368149.htm
北京大学,应用经济学,A+,,12月31日,北京大学经济学院,微信公众号,新年献词 | 北大经院院长董志勇：重塑下一个春天,https://mp.weixin.qq.com/s/f3nefVPZUEE3GazWTZq2UA,已删去相关表述,https://archive.is/xyTxm
北京大学,应用经济学,A+,,1月1日,北京大学经济学院,网站,新年献词 | 重塑下一个春天,https://econ.pku.edu.cn/sydt/368149.htm,,https://web.archive.org/web/20230206081621/https://econ.pku.edu.cn/sydt/368149.htm
北京大学,应用经济学,A+,,10月15日,北京大学光华学院,,,,,
北京大学,应用经济学,获得最优异的成绩,A+,1月19日,北京大学光华学院,网站,岁末年终，让我们一起盘点光华和光华人的“高光时刻”,https://www.gsm.pku.edu.cn/info/1740/26784.htm,,https://web.archive.org/web/20230206080520/https://www.gsm.pku.edu.cn/info/1740/26784.htm
北京大学,工商管理,A+,,10月15日,北京大学光华学院,,,,,
北京大学,工商管理,获得最优异的成绩,A+,1月19日,北京大学光华学院,网站,岁末年终，让我们一起盘点光华和光华人的“高光时刻”,https://www.gsm.pku.edu.cn/info/1740/26784.htm,,https://web.archive.org/web/20230206080520/https://www.gsm.pku.edu.cn/info/1740/26784.htm
北京大学,电子科学与技术,突出重围，再创佳绩,,12月31日,北京大学电子学院,网站,再见2022，你好2023——北京大学电子学院年度回顾,https://ele.pku.edu.cn/info/1012/2341.htm,,https://web.archive.org/web/20230206082151/https://ele.pku.edu.cn/info/1012/2341.htm
北京大学,电子科学与技术,A+,,1月11日,PKU电子学人,微信公众号,诚邀|电子学院诚邀海内外优秀青年人才申报优青（海外）项目,https://mp.weixin.qq.com/s/I66_2PW7nsyBhEbVgw8NKA,已修改为“获佳绩，更上一层楼”,https://archive.is/DORBw
北京大学,信息与通信工程,突出重围，再创佳绩,,12月31日,北京大学电子学院,网站,再见2022，你好2023——北京大学电子学院年度回顾,https://ele.pku.edu.cn/info/1012/2341.htm,,https://web.archive.org/web/20230206082151/https://ele.pku.edu.cn/info/1012/2341.htm
北京大学,信息与通信工程,A-,,1月11日,PKU电子学人,微信公众号,诚邀|电子学院诚邀海内外优秀青年人才申报优青（海外）项目,https://mp.weixin.qq.com/s/I66_2PW7nsyBhEbVgw8NKA,已修改为“获佳绩，更上一层楼”,https://archive.is/DORBw
